,KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/P_MAX,slope,slope/P_MAX,standard dev,standard dev/P_MAX,R2_LSP,Composite Function
43,2581626,292.70682,37.806011,14.998,0.073070843,0.003293414,0.059741542,4.55E-06,8.25E-05,0.000101864,0.001847782,0.999990676,f(t) = 1.004100 + 0.071900 * sin(2?? * 18.139700 * t + -2.440400) + 0.015700 * sin(2?? * 23.498500 * t + -0.000015) + 0.007800 * sin(2?? * 5.358700 * t + -1.669385)
57,5286485,295.00616,40.404041,14.824,0.096256705,0.001324139,0.013361622,5.91E-06,5.96E-05,0.0003111,0.003139248,0.999979539,f(t) = 1.000100 + 0.005700 * sin(2?? * 10.090800 * t + 0.000015) + 0.004900 * sin(2?? * 7.679000 * t + -0.000015)
92,8648251,299.10468,44.773991,14.604,0.099382554,-0.003555655,-0.053755459,1.70E-05,0.000257007,0.000185167,0.00279941,0.999977095,f(t) = 1.000000 + 0.006300 * sin(2?? * 15.118300 * t + 2.198200) + 0.006200 * sin(2?? * 19.510000 * t + 0.000015)
68,6955650,293.93597,42.488461,14.24,0.099719248,0.010369786,0.039329487,8.90E-06,3.38E-05,0.000429705,0.001629742,0.99999147,f(t) = 0.997100 + 0.060700 * sin(2?? * 3.792700 * t + 1.724500) + 0.007900 * sin(2?? * 1.896000 * t + 2.461785)
75,7668283,286.07773,43.302872,14.565,0.100584521,0.008727104,0.032474427,1.27E-05,4.71E-05,0.000712627,0.002651756,0.999991025,f(t) = 1.001100 + 0.017600 * sin(2?? * 3.721100 * t + 1.440885) + 0.003600 * sin(2?? * 1.859900 * t + -0.000015) + 0.002000 * sin(2?? * 5.582300 * t + -0.524600)
98,9137819,283.36523,45.533569,14.991,0.106140629,-0.016747172,-0.061220962,-6.73E-06,-2.46E-05,0.000853229,0.003119064,0.999985773,f(t) = 1.009900 + 0.197000 * sin(2?? * 3.655600 * t + 1.964400) + 0.036000 * sin(2?? * 7.311700 * t + -0.000015)
97,9077483,286.55652,45.47319,15.362,0.109473034,-0.001449871,-0.007776963,-1.50E-06,-8.05E-06,0.000630648,0.003382733,0.999995665,f(t) = 0.983400 + 0.144100 * sin(2?? * 5.363900 * t + -1.698985) + 0.020700 * sin(2?? * 2.667800 * t + -1.307985) + 0.015500 * sin(2?? * 10.727900 * t + -2.059600)
99,9202969,284.02448,45.665798,14.515,0.112484607,-0.002084796,-0.010369567,4.46E-05,0.000222055,0.000408094,0.002029819,0.999993101,f(t) = 0.999800 + 0.047200 * sin(2?? * 4.973900 * t + 0.000015)
66,6778487,292.15759,42.291168,14.85,0.120020277,0.006468833,0.032819624,4.95E-06,2.51E-05,0.000806745,0.004093021,0.999984919,f(t) = 0.994100 + 0.092700 * sin(2?? * 5.073500 * t + 0.453085)
67,6836820,281.43738,42.32869,14.46,0.12123833,-0.001528521,-0.00685022,7.88E-07,3.53E-06,0.000494041,0.002214094,0.9999898,f(t) = 0.973400 + 0.160200 * sin(2?? * 4.481600 * t + -2.593385) + 0.022500 * sin(2?? * 8.963500 * t + 0.501785)
52,4547067,286.95959,39.64114,14.671,0.123537384,0.007743062,0.03799598,5.46E-06,2.68E-05,0.000359654,0.001764858,0.999979871,f(t) = 0.999900 + 0.020000 * sin(2?? * 4.907100 * t + -0.000015) + 0.004300 * sin(2?? * 2.453500 * t + -0.183100)
83,8090059,289.11871,43.99369,14.027,0.129852921,-0.000208022,-0.003819367,1.76E-07,3.23E-06,0.000347147,0.006373758,0.999986842,f(t) = 1.000000 + 0.007900 * sin(2?? * 18.360400 * t + 2.025085)
74,7617649,294.77219,43.293789,14.634,0.132192022,0.001400221,0.00760152,9.61E-06,5.22E-05,0.000291196,0.001580845,0.999989389,f(t) = 0.970300 + 0.185300 * sin(2?? * 5.428800 * t + 1.784285) + 0.032700 * sin(2?? * 10.858100 * t + -0.000015)
95,8963394,295.38419,45.280109,14.48,0.138227954,-0.003931998,-0.021097922,2.06E-06,1.10E-05,0.000433062,0.002323681,0.999980194,f(t) = 0.980400 + 0.163400 * sin(2?? * 5.365700 * t + -1.614300) + 0.017200 * sin(2?? * 10.731900 * t + -0.000015)
48,4066203,293.87561,39.113762,14.052,0.138724337,0.001096511,0.006048903,2.79E-06,1.54E-05,0.00065942,0.00363769,0.99997872,f(t) = 1.000100 + 0.025800 * sin(2?? * 5.516500 * t + 1.589785) + 0.003500 * sin(2?? * 2.758600 * t + -2.696485)
45,3119295,292.05969,38.266869,14.268,0.140756382,0.006743131,0.030671806,5.76E-06,2.62E-05,0.000292994,0.001332713,0.999989397,f(t) = 0.969200 + 0.154500 * sin(2?? * 4.548600 * t + -0.679300) + 0.030100 * sin(2?? * 9.097200 * t + -0.000015) + 0.022600 * sin(2?? * 2.274400 * t + -1.700100)
85,8150307,285.16141,44.017181,14.782,0.141793959,-0.001544767,-0.022729238,-1.51E-05,-0.000222177,0.000427822,0.006294845,0.999978248,f(t) = 1.000000 + 0.005000 * sin(2?? * 14.713700 * t + -0.000015) + 0.001200 * sin(2?? * 13.714500 * t + -0.000015)
73,7601767,289.92361,43.219158,14.486,0.143325838,-0.003797465,-0.015604923,6.43E-05,0.000264054,0.000550226,0.002261044,0.999987308,f(t) = 0.984100 + 0.104000 * sin(2?? * 4.109300 * t + 0.000015) + 0.015200 * sin(2?? * 8.218100 * t + -0.000015)
82,8087649,287.9899,43.966339,14.448,0.144721736,0.002329314,0.009707183,1.36E-06,5.65E-06,0.000636121,0.002650971,0.999985764,f(t) = 0.992700 + 0.056600 * sin(2?? * 4.167400 * t + -0.746385) + 0.021000 * sin(2?? * 2.083300 * t + -0.000015)
87,8248967,296.94406,44.166401,15.056,0.145197614,-0.002741404,-0.009253609,1.59E-05,5.37E-05,0.000745342,0.002515902,0.999980102,f(t) = 0.982300 + 0.164700 * sin(2?? * 3.375500 * t + -0.180085) + 0.020500 * sin(2?? * 6.752400 * t + -0.000015)
72,7521682,289.93637,43.157269,14.781,0.146317939,-0.008564342,-0.048031399,-6.11E-06,-3.43E-05,0.000594403,0.00333359,0.999975548,f(t) = 0.986300 + 0.117000 * sin(2?? * 5.608300 * t + 2.326185) + 0.014500 * sin(2?? * 11.216700 * t + -0.000015)
50,4374279,293.96933,39.436089,14.583,0.164656436,-0.00752156,-0.044340348,-5.00E-06,-2.95E-05,0.000282427,0.001664935,0.999962847,f(t) = 0.994600 + 0.064100 * sin(2?? * 5.895100 * t + 2.454585)
64,6442207,291.58728,41.878208,15.478,0.176348268,-0.002053661,-0.009051922,-1.53E-07,-6.74E-07,0.000515466,0.002272019,0.99998325,f(t) = 0.976100 + 0.139700 * sin(2?? * 4.407700 * t + 0.000015) + 0.024900 * sin(2?? * 8.814900 * t + -0.000015) + 0.015900 * sin(2?? * 2.204000 * t + 1.414700)
54,4995588,286.4946,40.146961,14.961,0.179241961,-0.000790233,-0.018767402,4.81E-06,0.00011427,0.000890573,0.021150396,0.999944653,f(t) = 1.000000 + 0.004400 * sin(2?? * 23.749200 * t + -0.333800) + 0.003200 * sin(2?? * 23.154500 * t + -0.871300)
111,11852985,284.99982,50.100349,14.373,0.180535826,-0.00240084,-0.047345285,-2.94E-06,-5.80E-05,0.000209775,0.004136826,0.999967347,f(t) = 0.999900 + 0.012600 * sin(2?? * 19.720300 * t + -2.349485)
44,2972514,286.68576,38.17025,14.031,0.183456193,-0.003158122,-0.012545008,-2.63E-06,-1.04E-05,0.00038326,0.001522424,0.999985011,f(t) = 0.950700 + 0.203100 * sin(2?? * 3.972300 * t + -1.057300) + 0.050800 * sin(2?? * 7.944600 * t + -0.000015) + 0.023300 * sin(2?? * 1.986300 * t + 0.848085)
61,5707205,292.35443,40.945759,14.34,0.186134979,-0.002839191,-0.027395354,1.59E-05,0.000153725,0.001365629,0.013176954,0.999917159,f(t) = 1.000100 + 0.004100 * sin(2?? * 9.649000 * t + -1.632885) + 0.004000 * sin(2?? * 10.959100 * t + 0.729985) + 0.001800 * sin(2?? * 16.390300 * t + -0.000015) + 0.001600 * sin(2?? * 13.046100 * t + -0.000015) + 0.001500 * sin(2?? * 8.800000 * t + -1.038900) + 0.001400 * sin(2?? * 13.602200 * t + -0.000015) + 0.001100 * sin(2?? * 10.604800 * t + -0.101700) + 0.000800 * sin(2?? * 8.318200 * t + 2.684000) + 0.000700 * sin(2?? * 13.908500 * t + -0.000015)
70,7124161,293.71469,42.61084,14.673,0.188881622,0.002198777,0.010304349,5.35E-06,2.51E-05,0.000723459,0.003390418,0.999937306,f(t) = 0.999900 + 0.027200 * sin(2?? * 4.686400 * t + 0.219185) + 0.007200 * sin(2?? * 2.343700 * t + -1.514585)
109,11143576,294.68216,48.705921,15.051,0.190466166,0.001266562,0.019894903,-1.24E-05,-0.000194777,0.000775155,0.01217598,0.999978007,f(t) = 0.999900 + 0.014400 * sin(2?? * 15.707800 * t + -0.000015) + 0.003300 * sin(2?? * 15.047900 * t + 1.746185)
80,7984934,299.14761,43.709431,14.103,0.195786007,-0.00994495,-0.068509766,1.05E-06,7.25E-06,0.000319559,0.00220141,0.999964866,f(t) = 0.996400 + 0.026200 * sin(2?? * 6.888900 * t + -0.698685) + 0.004200 * sin(2?? * 13.777300 * t + -0.000015) + 0.004000 * sin(2?? * 3.444000 * t + -0.000015)
47,4036687,284.95593,39.14463,15.22,0.196140082,0.010038764,0.066975625,8.58E-05,0.000572195,0.000271948,0.001814355,0.999981959,f(t) = 0.987000 + 0.125400 * sin(2?? * 6.671700 * t + 0.000015)
84,8144212,281.79269,44.072189,14.229,0.200783101,0.001616152,0.015079829,4.52E-05,0.000422004,0.00089868,0.008385313,0.999912955,f(t) = 1.000000 + 0.001500 * sin(2?? * 9.330700 * t + -1.742785) + 0.001100 * sin(2?? * 12.187100 * t + 0.000015) + 0.001000 * sin(2?? * 8.394600 * t + -0.342300) + 0.001000 * sin(2?? * 8.926000 * t + -0.000015)
